指标,2011年1月,2011年2月,2011年3月,2011年4月,2011年5月,2011年6月,2011年7月,2011年8月,2011年9月,2011年10月,2011年11月,2011年12月,2012年1月,2012年2月,2012年3月,2012年4月,2012年5月,2012年6月,2012年7月,2012年8月,2012年9月,2012年10月,2012年11月,2012年12月,2013年1月,2013年2月,2013年3月,2013年4月,2013年5月,2013年6月,2013年7月,2013年8月,2013年9月,2013年10月,2013年11月,2013年12月,2014年1月,2014年2月,2014年3月,2014年4月,2014年5月,2014年6月,2014年7月,2014年8月,2014年9月,2014年10月,2014年11月,2014年12月,2015年1月,2015年2月,2015年3月,2015年4月,2015年5月,2015年6月,2015年7月,2015年8月,2015年9月,2015年10月,2015年11月,2015年12月,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月,2017年7月,2017年8月,2017年9月,2017年10月,2017年11月,2017年12月,2018年1月,2018年2月,2018年3月,2018年4月,2018年5月,2018年6月,2018年7月,2018年8月,2018年9月,2018年10月,2018年11月,2018年12月,2019年1月,2019年2月,2019年3月,2019年4月,2019年5月,2019年6月,2019年7月,2019年8月,2019年9月,2019年10月,2019年11月,2019年12月,2020年1月,2020年2月,2020年3月,2020年4月,2020年5月,2020年6月,2020年7月,2020年8月,2020年9月,2020年10月,2020年11月,2020年12月,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2023年2月,2023年3月,2023年4月,2023年5月,2023年6月,2023年7月,2023年8月,2023年9月,2023年10月,2023年11月,2023年12月
数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：2011-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：内蒙古自治区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
发电量发电量当期值(GWh),228.02844486486484,198.868954,222.7,234.3,259.9,276.8,269.0,260.7,245.4,258.0,249.5,254.0,243.18918918918916,233.2,242.5,244.6,263.8,250.6,266.8,268.2,261.9,262.0,261.6,285.3,273.84324324324325,232.76675675675676,274.63,283.26,280.32,281.72,290.23,297.89,297.71,319.73,304.77,320.6,302.1297297297297,268.44,306.22,303.89,299.78,302.85,318.52,317.8,308.02,301.54,295.13,310.44,298.3405405405405,247.43,289.65,311.55,305.1577,314.9503,333.722,322.0228,294.7566,306.6214,312.8115,302.9762,299.10545945945944,254.2396405405405,309.7996,314.8,322.0,313.1,333.7,336.0,302.9,317.9,325.4,333.0,324.1621621621622,275.53783783783786,345.7,344.8,351.1,340.9,382.2,375.4,356.4,368.1,362.5,378.3,396.5945945945946,337.1054054054054,396.1,393.6,415.3,372.3,405.9,424.9,395.7,419.0,427.7,433.8,439.5135135135135,373.5864864864865,422.3,422.9,430.0,441.1,474.6,471.4,440.5,432.9,448.7,469.9,450.5405405405405,382.9594594594594,428.8,436.1,451.3,456.3,508.6,506.9,460.7,483.0,487.3,531.4,521.7297297297297,443.4702702702702,463.2,470.6,473.1,478.3,524.4,515.6,469.8,483.8,494.6,542.3,544.2702702702702,462.62972972972966,517.0,487.9,511.8,527.1,568.6,560.9,527.3,546.8,545.7,607.6,595.8918918918919,506.5081081081081,581.9,549.7,564.2,595.2,655.2,657.5,615.6,622.5,654.5,717.8
地区：内蒙古自治区 蒙东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
发电量发电量当期值(GWh),60.880496077578805,53.0953082678972,59.457873707430004,62.55491607387001,69.38976819291,73.90183853712001,71.8193445321,69.60335732163,65.51846523486,68.88249401220001,66.61310951955001,67.8145483686,66.72193188135675,63.98127551067999,66.53284438825,67.10900510254,72.37676020462,68.75517857194,73.19984693932,73.58395408218,71.85547193931,71.8829081638,71.77316326584001,78.27554846997,76.62576660101999,65.13190161086699,76.845913860821,79.26072737944199,78.438067849344,78.829810482724,81.211046061341,83.35443789826299,83.30407098825698,89.465622978991,85.27957312515899,89.70906304402,83.50039323343891,74.189473441212,84.630832056206,83.986883787997,82.85099220759399,83.699456234805,88.03021561799599,87.83122731194,85.128302821346,83.337408066842,81.56585939764899,85.797124627812,78.60098187256646,65.188059623048,76.31136672923999,82.08115416708,80.39703488676471,82.97699929150409,87.9226028918192,84.84032448119008,77.65675469864976,80.78266218689105,82.4135097311364,79.82229555819632,78.04884895277615,66.34152160985973,80.83938765185844,82.14419654772001,84.02297105580001,81.70059701109001,87.07597963143,87.67614371040001,79.03899979131,82.95311334981,84.91017012906,86.8933209987,88.09886600153513,74.88403610130486,93.95229157403999,93.70769492256,95.41987148292,92.64777609947998,103.87204466184,102.02398107287999,96.86027398607999,100.04003045532,98.51809573499999,102.81212583876,105.97148838528108,90.07576512748892,105.83933094781001,105.17132204256,110.96963934013002,99.47988616983001,108.45792585639,113.53479353629,105.73244952297,111.9582925199,114.28296351017,115.91290523898,115.13333191009188,97.8633321235781,110.62414367411,110.78131745153,112.641207151,115.54892203327,124.32445793922001,123.48619779298,115.39174825585,113.40088040853,117.53978988059,123.09326334943,114.90142546472973,97.66621164502025,109.3569319648,111.21865212185,115.09511053105,116.37026132355,129.7083386131,129.27478734365,117.49239402094999,123.1795665555,124.27619623705,135.5230262269,129.32367317565405,109.92512219930593,114.81562579535999,116.64989960988001,117.26958670938001,118.55853587634,129.98556599111998,127.80426740088001,116.45159973804,119.92184749524,122.59889576508,134.42252562354,130.30527409731351,110.75948298271648,123.77642209790001,116.80950936473,122.53147549266001,126.19449146577001,136.13012302682,134.28664439983,126.24237402751,130.91092379716,130.64756970759,145.46722256612,135.04523981267027,114.78845384076973,131.87429820114,124.57690620582001,127.86299887452002,134.88843837312,148.48606320912,149.0073054945,139.51163081736001,141.0753576735,148.3274242527,162.67291845468
地区：内蒙古自治区 蒙西,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
发电量发电量当期值(GWh),167.14794878728603,145.7736457321028,163.24212629257,171.74508392613,190.51023180708998,202.89816146288,197.1806554679,191.09664267837,179.88153476514,189.11750598779997,182.88689048045,186.18545163139999,176.46725730783243,169.21872448931998,175.96715561175,177.49099489745998,191.42323979538003,181.84482142806002,193.60015306068001,194.61604591781997,190.04452806068997,190.11709183620002,189.82683673416,207.02445153003,197.21747664222326,167.6348551458898,197.784086139179,203.999272620558,201.88193215065598,202.89018951727604,209.01895393865902,214.535562101737,214.405929011743,230.264377021009,219.49042687484098,230.89093695598,218.62933649629082,194.250526558788,221.58916794379402,219.903116212003,216.92900779240597,219.15054376519504,230.489784382004,229.96877268806003,222.891697178654,218.20259193315803,213.56414060235102,224.642875372188,219.739558667974,182.24194037695202,213.33863327076,229.46884583292,224.76066511323526,231.97330070849594,245.79939710818078,237.18247551880995,217.09984530135023,225.83873781310893,230.39799026886362,223.1539044418037,221.05661050668328,187.89811893068077,228.96021234814157,232.65580345228,237.9770289442,231.39940298891003,246.62402036856997,248.32385628959997,223.86100020868997,234.94688665018998,240.48982987093996,246.1066790013,236.06329616062706,200.653801736533,251.74770842596,251.09230507744002,255.68012851708002,248.25222390052,278.32795533816,273.37601892711996,259.53972601392,268.05996954468003,263.981904265,275.48787416124003,290.6231062093135,247.02964027791649,290.26066905219,288.42867795744,304.33036065987,272.82011383017,297.44207414360994,311.36520646370997,289.96755047703,307.0417074801,313.41703648982997,317.88709476102,324.3801816034216,275.72315436290836,311.67585632589,312.11868254846996,317.358792849,325.55107796673,350.27554206078,347.91380220702,325.10825174415,319.49911959147,331.16021011940995,346.80673665057,335.63911507581076,285.29324781443916,319.4430680352,324.88134787815,336.20488946895,339.92973867645003,378.8916613869,377.62521265634996,343.20760597905,359.8204334445,363.02380376295,395.87697377309996,392.40605655407563,333.5451480709643,348.38437420464,353.95010039012004,355.83041329062,359.74146412366,394.41443400888,387.79573259912,353.34840026196,363.87815250476,372.00110423492004,407.87747437646,413.9649961729567,351.8702467470132,393.2235779021,371.09049063527,389.26852450734,400.90550853423,432.46987697318,426.61335560016994,401.05762597249,415.88907620284,415.05243029241,462.13277743388005,460.8466520792216,391.71965426733834,450.02570179886,425.12309379418,436.33700112548,460.31156162688,506.71393679088004,508.4926945055,476.08836918264,481.4246423265,506.1725757473,555.1270815453199
地区：吉林省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
发电量发电量当期值(GWh),53.601836756756754,49.511897,54.3,51.1,54.2,66.1,61.7,58.7,58.8,60.4,62.8,63.3,63.24324324324324,57.3,61.3,49.6,49.9,51.2,58.0,58.2,53.4,54.4,61.6,70.3,70.17297297297297,59.64702702702702,65.35,57.84,57.24,57.82,58.72,65.72,58.56,57.89,63.17,68.72,71.38378378378378,62.68,65.89,57.45,60.11,63.46,58.66,58.96,57.19,58.25,65.24,71.15,74.74054054054054,64.33,64.17,53.4,46.7214,46.1681,51.0052,52.2951,50.0546,61.9968,72.2494,74.5515,74.82583783783782,63.601962162162145,62.6126,56.1,52.2,51.7,54.1,53.2,53.8,64.3,74.0,77.8,75.02702702702703,63.77297297297297,68.1,56.5,53.7,54.8,55.9,51.8,49.0,62.9,70.9,82.6,82.21621621621621,69.88378378378378,72.5,61.8,64.1,59.4,64.8,62.9,55.7,64.4,72.1,82.1,77.72972972972973,66.07027027027027,73.3,67.4,67.2,68.2,75.8,75.4,63.8,66.6,74.6,87.5,84.0,71.39999999999999,73.1,71.2,76.8,74.1,83.3,78.5,74.9,74.9,82.9,90.5,90.27027027027026,76.72972972972971,81.0,73.3,77.2,78.9,87.4,71.7,65.0,72.7,80.9,92.4,92.37837837837837,78.52162162162162,77.9,73.4,74.9,70.6,90.8,79.7,67.8,84.5,91.9,100.2,97.94594594594594,83.25405405405404,94.0,87.7,84.6,82.8,86.9,86.7,76.2,85.2,98.4,105.6
