指标,2011年1月,2011年2月,2011年3月,2011年4月,2011年5月,2011年6月,2011年7月,2011年8月,2011年9月,2011年10月,2011年11月,2011年12月,2012年1月,2012年2月,2012年3月,2012年4月,2012年5月,2012年6月,2012年7月,2012年8月,2012年9月,2012年10月,2012年11月,2012年12月,2013年1月,2013年2月,2013年3月,2013年4月,2013年5月,2013年6月,2013年7月,2013年8月,2013年9月,2013年10月,2013年11月,2013年12月,2014年1月,2014年2月,2014年3月,2014年4月,2014年5月,2014年6月,2014年7月,2014年8月,2014年9月,2014年10月,2014年11月,2014年12月,2015年1月,2015年2月,2015年3月,2015年4月,2015年5月,2015年6月,2015年7月,2015年8月,2015年9月,2015年10月,2015年11月,2015年12月,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月,2017年7月,2017年8月,2017年9月,2017年10月,2017年11月,2017年12月,2018年1月,2018年2月,2018年3月,2018年4月,2018年5月,2018年6月,2018年7月,2018年8月,2018年9月,2018年10月,2018年11月,2018年12月,2019年1月,2019年2月,2019年3月,2019年4月,2019年5月,2019年6月,2019年7月,2019年8月,2019年9月,2019年10月,2019年11月,2019年12月,2020年1月,2020年2月,2020年3月,2020年4月,2020年5月,2020年6月,2020年7月,2020年8月,2020年9月,2020年10月,2020年11月,2020年12月,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2023年2月,2023年3月,2023年4月,2023年5月,2023年6月,2023年7月,2023年8月,2023年9月,2023年10月,2023年11月,2023年12月
数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：2011-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：内蒙古自治区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
火力发电量累计值(万千瓦时),1965527.6918918914,3636226.23,5591145.7700000005,7541772.7,10188956.379999999,12618731.1,14972113.059999999,17323799.54,19544255.48,21848477.240000002,24181216.599999998,26390005.2,2185804.5027027023,4043738.33,6378232.2,8524704.85,11168717.15,13411629.18,15877450.44,18358393.75,20738794.92,23086648.55,25393146.62,27933023.490000002,2474139.9999999995,4577159.0,6999100.0,9468700.0,11939800.0,14476700.0,17090400.0,19767900.0,22475200.0,25319500.0,28006400.0,30870700.0,2714594.594594594,5022000.0,7779200.0,10496500.0,13092200.0,15849300.0,18751100.0,21686300.0,24493900.0,27163200.0,29722500.0,32382600.000000004,2633945.9459459456,4872800.0,7372000.0,10089700.0,12728210.0,15770558.0,18828777.0,21817131.0,24555036.0,27253671.0,30042630.0,32691836.0,2615881.6216216213,4839381.0,7502169.0,10123000.0,12824000.0,15600000.0,18692000.0,21816000.0,24682000.0,27443000.0,30221000.0,33128000.0,2765945.945945945,5117000.0,8251000.0,11135000.0,14063000.0,17125000.0,20704000.0,24120000.0,27203000.0,30425000.0,33370000.0,36592000.0,3331351.3513513505,6163000.0,9552000.0,12799000.0,16371000.0,19623000.0,23202000.0,27164000.0,30525000.0,34121000.0,37747000.0,41384000.0,3732972.9729729723,6906000.0,10496000.0,14028000.0,17515000.0,21356000.0,25643000.0,29899000.0,33810000.0,37761000.0,41566000.0,45561000.0,3871351.351351351,7162000.0,10593000.0,14224000.0,17931000.0,21840000.0,26409000.0,30946000.0,34950000.0,38953000.0,43047000.0,47820000.0,4174594.5945945936,7723000.0,11551000.0,15346000.0,19106000.0,23141000.0,27804000.0,32335000.0,36393000.0,40440000.0,44350000.0,48633000.0,4497297.297297297,8320000.0,12483000.0,16225000.0,20251000.0,24731000.0,29622000.0,34470000.0,38768000.0,43161000.0,47522000.0,52212000.0,4706486.486486486,8707000.0,13411000.0,17657000.0,22033000.0,26987000.0,32526000.0,38260000.0,43598000.0,48646000.0,53624000.0,59350000.0
地区：内蒙古自治区_IME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
火力发电量累计值(万千瓦时),524769.1839827772,970822.990368138,1492759.9419510171,2013550.8249966027,2720312.8947128565,3369029.726501209,3997350.7294784165,4625219.062335671,5218050.624317857,5833246.521937939,6456056.231229501,7045772.771980337,599702.2302740415,1109449.126006977,1749946.1048854657,2338857.1597559177,3064274.30992713,3679644.689591146,4356172.946006892,5036850.122008129,5689942.330771917,6334104.72339533,6966920.711738047,7663767.031560834,692304.3706791378,1280763.0857564053,1958461.3323499698,2649495.3376322896,3340949.06716466,4050814.7004658896,4782170.21536968,5531378.001708929,6288924.30981584,7084805.432760649,7836643.49106688,8638120.93734569,750239.6944543782,1387943.4347406,2149958.09787616,2900945.49238445,3618325.97298106,4380312.99885189,5182291.14678703,5993500.14114199,6769443.98570147,7507165.49313936,8214486.00937425,8949664.888456982,693941.0151081512,1283790.87795008,1942231.6434592,2658238.55303992,3353382.016629656,4154920.887494389,4960641.141757567,5747954.720251582,6469284.85153009,7180268.884512526,7915049.733957768,8613011.17227057,682590.5148413437,1262792.452456486,1957622.7600705593,2641504.7701797,3346306.1516136,4070678.1008400004,4877507.3756988,5692686.7594824005,6440543.390059801,7161001.225727701,7885895.056761901,8644450.2643992,751712.3517256213,1390667.8506923998,2242407.7459572,3026204.1269219997,3821958.5664035995,4654130.729549999,5626810.080268799,6555190.259663999,7393069.678011599,8268725.6903099995,9069100.288764,9944756.3010624,890148.9476877296,1646775.5532223,2552328.4251792002,3419938.3913179003,4374389.5151391,5243335.4990883,6199657.0478442,7258317.5608844,8156388.7331025,9117252.7424141,10086132.858588701,11057952.2139464,977875.771948216,1809070.1781042002,2749493.2796672,3674722.9160796003,4588164.5191855,5594338.6509692,6717345.290635101,7832231.285134301,8856742.357617,9891731.6819277,10888475.3870662,11934990.7883877,987311.3487443242,1826525.995177,2701534.4689905,3627548.974504,4572945.7720635,5569858.66164,6735091.4558264995,7892163.284941,8913304.039575,9934189.7640505,10978283.232949499,12195542.179469999,1034776.9663650808,1914337.3877754,2863202.2745298,3803887.2915708,4735896.6892188,5736071.6678118,6891912.0457991995,8015032.944933,9020909.0448414,10024058.521512,10993249.14513,12054897.0839934,1076710.577504865,1991914.568384,2988590.0910021,3884472.8211575,4848348.7889837,5920918.1719597,7091886.2193114,8252559.515889,9281555.7676816,10333296.2363007,11377375.4950414,12500221.5678444,1066617.2923157837,1973241.9907842,3039295.7779266,4001554.3621542,4993274.4668598,6115985.0241522,7371272.4235956,8670752.103756,9880487.4599988,11024500.9628676,12152650.570094401,13450317.23361
地区：吉林省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
火力发电量累计值(万千瓦时),446593.0972972972,826197.23,1339245.9400000002,1745719.3,2166331.13,2652934.86,3146672.0199999996,3721502.94,4223194.29,4730688.29,5274709.17,5839555.76,480786.3189189189,889454.6900000001,1571478.53,1961772.8399999999,2353538.3200000003,2743002.81,3171912.17,3672357.1399999997,4120564.52,4564314.66,5077524.680000001,5703550.91,615355.6756756756,1138408.0,1680900.0,2137100.0,2526200.0,2942300.0,3340800.0,3851300.0,4261800.0,4739100.0,5283099.999999999,5908300.0,634324.3243243243,1173500.0,1760500.0,2214300.0,2664900.0,3120700.0,3583200.0,4084700.0000000005,4563800.0,5053200.0,5615599.999999999,6258700.0,650540.5405405404,1203500.0,1740000.0,2134500.0,2465676.0,2799546.0000000005,3168666.0,3524637.0,3885262.0,4364937.0,4955926.0,5595520.0,665813.5135135135,1231755.0,1768200.0,2177000.0,2519000.0,2874000.0,3269000.0,3685000.0,4067000.0,4556000.0,5149000.0,5784000.0,647567.5675675675,1198000.0,1768000.0,2199000.0,2564000.0,2950000.0,3356000.0,3759000.0,4141000.0,4658000.0,5248000.0,5969000.0,715135.1351351351,1323000.0,1973000.0,2436000.0,2902000.0,3358000.0,3947000.0,4491000.0,4922000.0,5441000.0,6033000.0,6712000.0,660540.5405405405,1222000.0,1895000.0,2429000.0,2924000.0,3467000.0,4131000.0,4788000.0,5311000.0,5825000.0,6443000.0,7194000.0,724864.8648648647,1341000.0,1911000.0,2424000.0,2970000.0,3555000.0,4284000.0,4974000.0,5498000.0,6081000.0,6741000.0,7499000.0,749189.189189189,1386000.0,1998000.0,2515000.0,3063000.0,3646000.0,4291000.0,4835000.0,5319000.0,5875000.0,6526000.0,7293000.0,758378.3783783783,1403000.0,1957000.0,2406000.0,2862000.0,3350000.0,3946000.0,4493000.0,4911000.0,5448000.0,6094000.0,6786000.0,689189.189189189,1275000.0,1863000.0,2332000.0,2806000.0,3358000.0,3966000.0,4608000.0,5110000.0,5673000.0,6372000.0,7125000.0
地区：黑龙江省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
火力发电量累计值(万千瓦时),678593.2324324324,1255397.48,1925212.79,2533137.35,3160588.95,3761341.3200000003,4376732.17,4998183.93,5604427.27,6235613.87,6934257.109999999,7653918.109999999,645785.1945945944,1194702.6099999999,2010116.1600000001,2631843.66,3282292.81,3893071.9699999997,4498786.51,5083208.77,5634792.119999999,6208652.180000001,6893171.37,7634951.69,738662.162162162,1366525.0,2044199.9999999998,2647600.0,3204500.0,3762500.0,4336400.0,4875400.0,5383200.000000001,5977900.0,6632300.0,7347900.0,711351.3513513511,1316000.0,1981600.0,2553500.0,3092500.0,3796200.0,4387400.0,4999500.0,5568400.0,6201500.0,7106000.0,7860700.000000001,748270.2702702702,1384300.0,2066800.0,2618000.0,3148682.0,3686941.0,4314760.0,4957004.0,5542334.0,6223680.000000001,6953385.0,7703150.000000001,796149.7297297296,1472877.0,2201533.0,2828000.0,3363000.0,3930000.0,4549000.0,5193000.0,5764000.0,6445000.0,7223000.0,8028000.0,801081.0810810808,1482000.0,2239000.0,2823000.0,3398000.0,4011000.0,4659000.0,5236000.0,5809000.0,6469000.0,7210000.0,8051000.0,841621.6216216214,1557000.0,2318000.0,3014000.0,3722000.0,4528000.0,5221000.0,5833000.0,6396000.0,7073000.0,7855000.0,8739000.0,827027.027027027,1530000.0,2272000.0,2998000.0,3717000.0,4474000.0,5268000.0,5968000.0,6602000.0,7327000.0,8160000.0,9116000.0,794594.5945945946,1470000.0,2356000.0,3116000.0,3850000.0,4543000.0,5359000.0,6133000.0,6759000.0,7529000.0,8337000.0,9216000.0,882162.162162162,1632000.0,2438000.0,3152000.0,3880000.0,4658000.0,5492000.0,6259000.0,6929000.0,7685000.0,8503000.0,9388000.0,915135.135135135,1693000.0,2488000.0,3129000.0,3702000.0,4284000.0,4973000.0,5658000.0,6233000.0,6968000.0,7846000.0,8774000.0,941621.6216216214,1742000.0,2545000.0,3228000.0,3891000.0,4562000.0,5320000.0,6099000.0,6751000.0,7469000.0,8361000.0,9357000.0
