Year,Month,内蒙古自治区,内蒙古自治区 蒙东,内蒙古自治区 蒙西,吉林省,黑龙江省
2011,1,196.55276918918918,52.476918398277725,144.07585079091146,44.65930972972972,67.85932324324324
2011,2,170.217572,45.44577862039234,124.77179337960766,40.524112,56.689646
2011,3,189.315154,50.54457349544079,138.77058050455923,44.347963,67.892631
2011,4,199.407933,53.239208336657676,146.16872466334235,40.647236,60.792456
2011,5,219.873706,58.7032916162218,161.1704143837782,42.060983,62.74516
2011,6,237.459069,63.39834456796546,174.06072443203453,48.660473,60.075237
2011,7,235.338195,62.83210003073434,172.5060949692657,49.373108,61.257085
2011,8,235.168551,62.78680738804361,172.38174361195638,50.493792,61.947976
2011,9,221.148134,59.043546573892264,162.10458742610774,50.169135,60.836634
2011,10,230.059972,61.4228862160345,168.6370857839655,50.74922,63.11866
2011,11,217.286259,58.01247842829783,159.27378057170216,54.402088,67.105524
2011,12,217.88246,58.17165599346282,159.7108040065372,56.484619,71.9661
2012,1,218.58045027027026,59.97022302740416,158.6102272428661,48.07863189189189,64.57851945945946
2012,2,211.287167,57.9692214566812,153.3179455433188,42.630905,57.749752
2012,3,219.158393,60.12878869215644,159.02960430784356,52.783684,68.235155
2012,4,214.646063,58.89077570362683,155.75528729637318,40.050088,61.77785
2012,5,235.631793,64.6484676972921,170.9833253027079,39.306504,65.045115
2012,6,224.296114,61.53838535938632,162.75772864061366,38.946349,61.077816
2012,7,244.749683,67.15007246644336,177.59961053355664,42.89073,60.571554
2012,8,247.619738,67.93750719922984,179.68223080077018,49.155332,58.442226
2012,9,238.070213,65.31747808250117,172.75273491749883,44.820759,55.158335
2012,10,234.713037,64.39639573861676,170.31664126138327,44.375014,57.386106
2012,11,230.64989,63.28162160633806,167.36826839366194,51.322352,68.451819
2012,12,253.987839,69.68467368533977,184.30316531466025,62.602649,74.178032
2013,1,247.414,69.2304370679138,178.1835629320862,61.53556756756757,73.86621621621622
2013,2,210.3019,58.84587150772672,151.45602849227328,52.30523243243243,62.78628378378378
2013,3,241.14,67.474870438038,173.66512956196198,54.12,67.76
2013,4,246.96,69.103400528232,177.856599471768,45.62,60.36
2013,5,244.33,68.367484009811,175.96251599018902,38.91,55.89
2013,6,247.51,69.25729941991699,178.252700580083,41.61,56.08
2013,7,261.38,73.13834965204599,188.24165034795402,39.85,57.65
2013,8,267.65,74.89279701725499,192.75720298274499,42.27,53.32
2013,9,266.17,74.478669090539,191.69133090946102,41.06,50.9
2013,10,284.75,79.677653467825,205.072346532175,47.72,59.47
2013,11,268.69,75.18380583062299,193.506194169377,54.4,65.44
2013,12,286.43,80.147744627881,206.282255372119,62.52,71.56
2014,1,271.4594594594594,75.02396944543783,196.43549001402158,63.43243243243243,71.13513513513513
2014,2,244.37,67.537183820701,176.83281617929902,55.4,61.15
2014,3,274.33,75.817308333809,198.512691666191,56.76,66.56
2014,4,271.74,75.101503177302,196.63849682269802,45.37,56.06
2014,5,259.57,71.738048059661,187.831951940339,47.5,54.31
2014,6,274.51,75.86705541032299,198.642944589677,45.58,58.47
2014,7,289.84,80.10384809343199,209.73615190656798,46.28,59.12
2014,8,293.52,81.120899435496,212.39910056450398,50.15,61.21
2014,9,280.76,77.594384455948,203.165615544052,47.91,56.89
2014,10,266.93,73.772150743789,193.15784925621102,48.94,63.31
2014,11,255.93,70.732051623489,185.19794837651102,56.24,69.15
2014,12,265.97,73.506833002381,192.46316699761903,64.31,75.47
2015,1,263.3945945945946,69.39410151081513,194.00049308377947,65.05405405405405,74.82702702702703
2015,2,219.72,57.887566020192004,161.832433979808,56.05,64.33
2015,3,249.9,65.83880733864001,184.06119266136,53.84,68.11
2015,4,271.71,71.584883321256,200.12511667874398,39.45,55.12
2015,5,263.8504,69.51418828260543,194.33621171739455,33.1165,53.1215
2015,6,280.7161,73.95763595339896,206.75846404660103,33.387,53.3014
2015,7,306.9587,80.87152745185833,226.0871725481417,36.9071,62.5549
2015,8,295.5531,77.86660107738216,217.68649892261783,35.597,64.2244
2015,9,263.3063,69.37083936274568,193.93546063725432,36.0625,58.5329
2015,10,265.3966,69.92155108335376,195.47504891664622,47.9675,68.1347
2015,11,278.8958,73.47805859846288,205.4177414015371,59.0805,73.0652
2015,12,265.1361,69.85291959351096,195.28318040648904,63.6992,75.2124
2016,1,261.5881621621622,68.25905148413439,193.3291106780278,66.58135135135134,79.61497297297296
