指标,2011年1月,2011年2月,2011年3月,2011年4月,2011年5月,2011年6月,2011年7月,2011年8月,2011年9月,2011年10月,2011年11月,2011年12月,2012年1月,2012年2月,2012年3月,2012年4月,2012年5月,2012年6月,2012年7月,2012年8月,2012年9月,2012年10月,2012年11月,2012年12月,2013年1月,2013年2月,2013年3月,2013年4月,2013年5月,2013年6月,2013年7月,2013年8月,2013年9月,2013年10月,2013年11月,2013年12月,2014年1月,2014年2月,2014年3月,2014年4月,2014年5月,2014年6月,2014年7月,2014年8月,2014年9月,2014年10月,2014年11月,2014年12月,2015年1月,2015年2月,2015年3月,2015年4月,2015年5月,2015年6月,2015年7月,2015年8月,2015年9月,2015年10月,2015年11月,2015年12月,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月,2017年7月,2017年8月,2017年9月,2017年10月,2017年11月,2017年12月,2018年1月,2018年2月,2018年3月,2018年4月,2018年5月,2018年6月,2018年7月,2018年8月,2018年9月,2018年10月,2018年11月,2018年12月,2019年1月,2019年2月,2019年3月,2019年4月,2019年5月,2019年6月,2019年7月,2019年8月,2019年9月,2019年10月,2019年11月,2019年12月,2020年1月,2020年2月,2020年3月,2020年4月,2020年5月,2020年6月,2020年7月,2020年8月,2020年9月,2020年10月,2020年11月,2020年12月,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2023年2月,2023年3月,2023年4月,2023年5月,2023年6月,2023年7月,2023年8月,2023年9月,2023年10月,2023年11月,2023年12月
数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：2011-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：内蒙古自治区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
火力发电量当期值(GWh),196.55276918918918,170.217572,189.315154,199.407933,219.873706,237.459069,235.338195,235.168551,221.148134,230.059972,217.286259,217.88246,218.58045027027026,211.287167,219.158393,214.646063,235.631793,224.296114,244.749683,247.619738,238.070213,234.713037,230.64989,253.987839,247.414,210.3019,241.14,246.96,244.33,247.51,261.38,267.65,266.17,284.75,268.69,286.43,271.4594594594594,244.37,274.33,271.74,259.57,274.51,289.84,293.52,280.76,266.93,255.93,265.97,263.3945945945946,219.72,249.9,271.71,263.8504,280.7161,306.9587,295.5531,263.3063,265.3966,278.8958,265.1361,261.5881621621622,222.34993783783784,266.1468,268.2,270.1,277.6,300.6,304.8,271.2,276.1,277.8,289.7,276.5945945945946,235.10540540540538,302.6,291.5,292.8,303.9,348.1,341.5,308.3,322.3,294.3,320.3,333.1351351351351,283.16486486486485,338.6,324.7,357.1,325.3,357.9,394.2,335.7,358.7,362.6,359.5,373.2972972972973,317.3027027027027,354.1,352.5,348.7,384.1,428.2,425.1,391.0,367.7,374.6,392.4,387.13513513513516,329.0648648648649,340.4,361.8,370.6,390.7,456.9,452.9,399.8,400.2,407.0,438.0,417.4594594594594,354.8405405405405,382.2,380.4,375.9,403.5,464.8,452.8,405.8,404.6,384.2,421.1,449.7297297297297,382.2702702702702,401.1,369.0,404.6,447.2,488.4,484.0,429.6,439.2,435.2,467.9,470.64864864864865,400.05135135135134,454.7,414.6,437.6,489.6,553.9,572.6,513.2,504.7,491.7,571.2
地区：内蒙古自治区 蒙东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
火力发电量当期值(GWh),52.476918398277725,45.44577862039234,50.54457349544079,53.239208336657676,58.7032916162218,63.39834456796546,62.83210003073434,62.78680738804361,59.043546573892264,61.4228862160345,58.01247842829783,58.17165599346282,59.97022302740416,57.9692214566812,60.12878869215644,58.89077570362683,64.6484676972921,61.53838535938632,67.15007246644336,67.93750719922984,65.31747808250117,64.39639573861676,63.28162160633806,69.68467368533977,69.2304370679138,58.84587150772672,67.474870438038,69.103400528232,68.367484009811,69.25729941991699,73.13834965204599,74.89279701725499,74.478669090539,79.677653467825,75.18380583062299,80.147744627881,75.02396944543783,67.537183820701,75.817308333809,75.101503177302,71.738048059661,75.86705541032299,80.10384809343199,81.120899435496,77.594384455948,73.772150743789,70.732051623489,73.506833002381,69.39410151081513,57.887566020192004,65.83880733864001,71.584883321256,69.51418828260543,73.95763595339896,80.87152745185833,77.86660107738216,69.37083936274568,69.92155108335376,73.47805859846288,69.85291959351096,68.25905148413439,58.02019376151422,69.44858656209252,69.98435042598,70.48013814339001,72.43719492264002,78.43883571234001,79.53478750872002,70.76717313768,72.04578356679,72.48938310342001,75.59457985983,75.17123517256215,63.89554989667782,82.23882970872,79.22213767379999,79.57544394816,82.59213598307998,94.60454931132,92.81084053379999,83.78794183475999,87.59277863556,79.98310503396,87.04923052116,89.01489476877296,75.66266055345703,90.47512612706001,86.76099661387,95.41839202591001,86.92131875113,95.63215487559,105.33164417982,89.70023579697,95.84591772527,96.88801161746001,96.05968057495001,97.78757719482162,83.11944061559838,92.75872430737,92.33959423425,91.34416031059,100.61741317837001,112.16968581874,111.35762130207002,102.42491161870001,96.32132992889,98.12882836922,102.79165043268,98.73113487443244,83.92146464326757,86.81226595339999,92.2699113453,94.5141767401,99.64028292594999,116.52327941864999,115.50315878465,101.9610573683,102.0630694317,103.7972745095,111.70320942299999,103.4776966365081,87.95604214103187,94.73776377156,94.29158905992,93.17615228081999,100.0174978593,115.21222553904,112.23772746144,100.58760999084001,100.29016018308,95.23351345116,104.38009503978,107.67105775048648,91.5203990879135,96.02847756957001,88.34332641030001,96.86642240002001,107.06540805064,116.92921576908,115.8757994108,102.85174261752,105.15010558104,104.19245434624,112.02125319073,106.66172923157838,90.66246984684162,103.04733354881999,93.95958761676,99.17201047056001,110.95661866176,125.52873994434,129.76666635156002,116.30501776392,114.37868757881999,111.43253553102,129.44938843872
地区：内蒙古自治区 蒙西,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
火力发电量当期值(GWh),144.07585079091146,124.77179337960766,138.77058050455923,146.16872466334235,161.1704143837782,174.06072443203453,172.5060949692657,172.38174361195638,162.10458742610774,168.6370857839655,159.27378057170216,159.7108040065372,158.6102272428661,153.3179455433188,159.02960430784356,155.75528729637318,170.9833253027079,162.75772864061366,177.59961053355664,179.68223080077018,172.75273491749883,170.31664126138327,167.36826839366194,184.30316531466025,178.1835629320862,151.45602849227328,173.66512956196198,177.856599471768,175.96251599018902,178.252700580083,188.24165034795402,192.75720298274499,191.69133090946102,205.072346532175,193.506194169377,206.282255372119,196.43549001402158,176.83281617929902,198.512691666191,196.63849682269802,187.831951940339,198.642944589677,209.73615190656798,212.39910056450398,203.165615544052,193.15784925621102,185.19794837651102,192.46316699761903,194.00049308377947,161.832433979808,184.06119266136,200.12511667874398,194.33621171739455,206.75846404660103,226.0871725481417,217.68649892261783,193.93546063725432,195.47504891664622,205.4177414015371,195.28318040648904,193.3291106780278,164.3297440763236,196.69821343790747,198.21564957402,199.61986185661002,205.16280507736002,222.16116428766003,225.26521249128,200.43282686231998,204.05421643321,205.31061689658,214.10542014017,201.42335942203243,171.20985550872757,220.36117029128002,212.27786232620002,213.22455605184,221.30786401692,253.49545068868002,248.6891594662,224.51205816524003,234.70722136444002,214.31689496604002,233.25076947884003,244.12024036636214,207.5022043114078,248.12487387294001,237.93900338612997,261.68160797409,238.37868124887,262.26784512441,288.86835582018,245.99976420303,262.85408227473,265.71198838254,263.44031942505,275.5097201024757,234.1832620871043,261.34127569263,260.16040576575,257.35583968941,283.48258682163,316.03031418126,313.74237869793,288.5750883813,271.37867007111,276.47117163078,289.60834956732,288.40400026070273,245.14340022159732,253.5877340466,269.5300886547,276.08582325990005,291.05971707405,340.37672058135,337.39684121535,297.8389426317,298.1369305683,303.20272549050003,326.296790577,313.98176282295134,266.88449839950863,287.46223622844,286.10841094008,282.72384771917996,303.48250214070003,349.58777446096,340.56227253856,305.21239000916,304.30983981692003,288.96648654884,316.71990496022,342.0586719792432,290.7498711823567,305.07152243043004,280.6566735897,307.73357759998,340.13459194936,371.47078423092,368.1242005892,326.74825738248,334.04989441896,331.00754565375996,355.87874680926996,363.9869194170703,309.38888150450975,351.65266645118,320.64041238324,338.42798952944,378.64338133824003,428.37126005565995,442.83333364844,396.89498223608007,390.32131242118,380.26746446898,441.75061156128004
地区：吉林省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
火力发电量当期值(GWh),44.65930972972972,40.524112,44.347963,40.647236,42.060983,48.660473,49.373108,50.493792,50.169135,50.74922,54.402088,56.484619,48.07863189189189,42.630905,52.783684,40.050088,39.306504,38.946349,42.89073,49.155332,44.820759,44.375014,51.322352,62.602649,61.53556756756757,52.30523243243243,54.12,45.62,38.91,41.61,39.85,42.27,41.06,47.72,54.4,62.52,63.43243243243243,55.4,56.76,45.37,47.5,45.58,46.28,50.15,47.91,48.94,56.24,64.31,65.05405405405405,56.05,53.84,39.45,33.1165,33.387,36.9071,35.597,36.0625,47.9675,59.0805,63.6992,66.58135135135134,56.59414864864864,53.6446,40.8,34.2,35.5,39.5,41.6,38.2,48.1,59.3,63.4,64.75675675675676,55.04324324324324,57.0,42.9,36.5,38.6,40.6,40.3,38.2,51.7,59.0,72.1,71.51351351351352,60.78648648648649,60.7,46.3,46.7,45.5,51.0,52.5,42.1,51.9,59.3,67.8,66.05405405405405,56.14594594594594,60.3,53.4,49.5,54.2,66.4,65.5,52.3,51.4,61.8,75.1,72.48648648648648,61.61351351351351,57.0,51.3,54.4,58.4,73.0,69.0,52.4,58.3,66.0,74.4,74.91891891891892,63.68108108108108,61.1,51.7,54.7,56.1,64.4,54.4,48.1,55.5,65.2,76.3,75.83783783783784,64.46216216216216,55.2,44.7,45.5,47.6,59.5,53.4,41.7,53.7,64.0,69.2,68.91891891891892,58.58108108108108,58.6,46.2,47.4,55.2,60.9,63.9,50.2,56.3,69.9,75.0
